"상권별(1)","상권별(2)",상권별(3),항목,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"서울","소계(강남지역)",소계,순영업소득 (%),35.1,86.8,87.3,87.3,28.2,86.2,85.5
"서울","소계(강남지역)",소계,순영업소득 (천원/㎡),45.7,115.5,115.9,116.2,36.6,114.2,115.5
"서울","소계(강남지역)",강남대로,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(강남지역)",강남대로,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(강남지역)",강남대로,운영경비 (%),81.1,13.7,15.2,16.8,90.1,13.7,13.7
"서울","소계(강남지역)",강남대로,순영업소득 (%),18.9,86.3,84.8,83.2,9.9,86.3,86.3
"서울","소계(강남지역)",강남대로,순영업소득 (천원/㎡),28.8,137.2,120.5,110.9,14.8,140.9,141.1
"서울","소계(강남지역)",교대역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(강남지역)",교대역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(강남지역)",교대역,운영경비 (%),96.0,11.8,11.8,12.0,102.5,7.9,14.1
"서울","소계(강남지역)",교대역,순영업소득 (%),4.0,88.2,88.2,88.0,-2.5,92.1,85.9
"서울","소계(강남지역)",교대역,순영업소득 (천원/㎡),3.6,103.8,103.7,103.8,-4.1,108.7,105.3
"서울","소계(강남지역)",남부터미널,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(강남지역)",남부터미널,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(강남지역)",남부터미널,운영경비 (%),57.6,12.9,12.9,13.0,66.2,18.9,17.2
"서울","소계(강남지역)",남부터미널,순영업소득 (%),42.4,87.1,87.1,87.0,33.8,81.1,82.8
"서울","소계(강남지역)",남부터미널,순영업소득 (천원/㎡),37.0,77.0,76.8,76.2,29.5,71.9,74.6
"서울","소계(강남지역)",논현역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(강남지역)",논현역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(강남지역)",논현역,운영경비 (%),50.3,25.6,21.0,20.5,59.1,20.2,20.2
"서울","소계(강남지역)",논현역,순영업소득 (%),49.7,74.4,79.0,79.5,40.9,79.8,79.8
"서울","소계(강남지역)",논현역,순영업소득 (천원/㎡),65.0,99.2,106.0,106.0,53.8,106.4,106.5
"서울","소계(강남지역)",도산대로,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(강남지역)",도산대로,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(강남지역)",도산대로,운영경비 (%),83.4,11.3,10.9,10.9,76.2,13.3,16.6
"서울","소계(강남지역)",도산대로,순영업소득 (%),16.6,88.7,89.1,89.1,23.8,86.7,83.4
"서울","소계(강남지역)",도산대로,순영업소득 (천원/㎡),16.2,100.1,104.4,103.9,25.9,97.8,94.2
"서울","소계(강남지역)",신사역,임대수입 (%),99.8,99.8,99.8,99.8,99.8,99.8,99.8
"서울","소계(강남지역)",신사역,기타수입 (%),0.2,0.2,0.2,0.2,0.2,0.2,0.2
"서울","소계(강남지역)",신사역,운영경비 (%),57.5,10.9,11.0,11.3,73.4,11.3,11.5
"서울","소계(강남지역)",신사역,순영업소득 (%),42.5,89.1,89.0,88.7,26.6,88.7,88.5
"서울","소계(강남지역)",신사역,순영업소득 (천원/㎡),55.2,117.3,115.5,107.0,28.1,96.2,105.1
"서울","소계(강남지역)",압구정,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(강남지역)",압구정,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(강남지역)",압구정,운영경비 (%),54.1,22.9,20.8,20.8,58.1,21.6,21.6
"서울","소계(강남지역)",압구정,순영업소득 (%),45.9,77.1,79.2,79.2,41.9,78.4,78.4
